Transaction_id,Transaction_date,Transaction_time,Transaction_qty,Store_id,Store_location,Product_id,Unit_price,Product_category,Product_name,Product_detail,Total Sales (Revenue),Year,Month Number,Month Name,Day of Week
28,01-01-2023,08:35:03,2,5,Lower Manhattan,45,3,Tea,Brewed herbal tea,Peppermint Lg,6,2023,1,Jan,Sunday
29,01-01-2023,08:35:03,1,5,Lower Manhattan,71,3.75,Bakery,Pastry,Chocolate Croissant,3.75,2023,1,Jan,Sunday
30,01-01-2023,08:41:57,2,8,Hell's Kitchen,40,3.75,Coffee,Barista Espresso,Cappuccino,7.5,2023,1,Jan,Sunday
31,01-01-2023,08:52:03,1,8,Hell's Kitchen,38,3.75,Coffee,Barista Espresso,Latte,3.75,2023,1,Jan,Sunday
32,01-01-2023,08:52:32,1,5,Lower Manhattan,26,3,Coffee,Organic brewed coffee,Brazilian Rg,3,2023,1,Jan,Sunday
33,01-01-2023,08:54:33,2,5,Lower Manhattan,27,3.5,Coffee,Organic brewed coffee,Brazilian Lg,7,2023,1,Jan,Sunday
34,01-01-2023,08:56:27,2,5,Lower Manhattan,29,2.5,Coffee,Gourmet brewed coffee,Columbian Medium Roast Rg,5,2023,1,Jan,Sunday
35,01-01-2023,08:57:46,1,8,Hell's Kitchen,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,2.5,2023,1,Jan,Sunday
36,01-01-2023,08:58:55,1,5,Lower Manhattan,26,3,Coffee,Organic brewed coffee,Brazilian Rg,3,2023,1,Jan,Sunday
37,01-01-2023,09:00:12,1,5,Lower Manhattan,55,4,Tea,Brewed Chai tea,Morning Sunrise Chai Lg,4,2023,1,Jan,Sunday
38,01-01-2023,09:00:24,2,8,Hell's Kitchen,40,3.75,Coffee,Barista Espresso,Cappuccino,7.5,2023,1,Jan,Sunday
39,01-01-2023,09:07:13,1,8,Hell's Kitchen,45,3,Tea,Brewed herbal tea,Peppermint Lg,3,2023,1,Jan,Sunday
40,01-01-2023,09:08:09,2,8,Hell's Kitchen,45,3,Tea,Brewed herbal tea,Peppermint Lg,6,2023,1,Jan,Sunday
41,01-01-2023,09:08:13,1,8,Hell's Kitchen,24,3,Coffee,Drip coffee,Our Old Time Diner Blend Lg,3,2023,1,Jan,Sunday
42,01-01-2023,09:10:30,2,5,Lower Manhattan,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,7.5,2023,1,Jan,Sunday
43,01-01-2023,09:10:30,1,5,Lower Manhattan,78,4.5,Bakery,Scone,Scottish Cream Scone ,4.5,2023,1,Jan,Sunday
44,01-01-2023,09:11:06,1,5,Lower Manhattan,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,2.55,2023,1,Jan,Sunday
45,01-01-2023,09:11:06,1,5,Lower Manhattan,77,3,Bakery,Scone,Oatmeal Scone,3,2023,1,Jan,Sunday
46,01-01-2023,09:13:01,1,5,Lower Manhattan,44,2.5,Tea,Brewed herbal tea,Peppermint Rg,2.5,2023,1,Jan,Sunday
47,01-01-2023,09:13:15,2,5,Lower Manhattan,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,5.1,2023,1,Jan,Sunday
48,01-01-2023,09:14:16,1,5,Lower Manhattan,48,2.5,Tea,Brewed Black tea,English Breakfast Rg,2.5,2023,1,Jan,Sunday
49,01-01-2023,09:14:17,1,8,Hell's Kitchen,23,2.5,Coffee,Drip coffee,Our Old Time Diner Blend Rg,2.5,2023,1,Jan,Sunday
50,01-01-2023,09:14:25,1,8,Hell's Kitchen,46,2.5,Tea,Brewed Green tea,Serenity Green Tea Rg,2.5,2023,1,Jan,Sunday
51,01-01-2023,09:14:41,1,8,Hell's Kitchen,32,3,Coffee,Gourmet brewed coffee,Ethiopia Rg,3,2023,1,Jan,Sunday
52,01-01-2023,09:15:09,2,5,Lower Manhattan,47,3,Tea,Brewed Green tea,Serenity Green Tea Lg,6,2023,1,Jan,Sunday
53,01-01-2023,09:15:13,2,5,Lower Manhattan,43,3,Tea,Brewed herbal tea,Lemon Grass Lg,6,2023,1,Jan,Sunday
54,01-01-2023,09:19:21,2,5,Lower Manhattan,25,2.2,Coffee,Organic brewed coffee,Brazilian Sm,4.4,2023,1,Jan,Sunday
55,01-01-2023,09:19:26,1,8,Hell's Kitchen,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,4.5,2023,1,Jan,Sunday
56,01-01-2023,09:21:08,1,5,Lower Manhattan,38,3.75,Coffee,Barista Espresso,Latte,3.75,2023,1,Jan,Sunday
57,01-01-2023,09:22:17,1,8,Hell's Kitchen,45,3,Tea,Brewed herbal tea,Peppermint Lg,3,2023,1,Jan,Sunday
58,01-01-2023,09:22:46,1,5,Lower Manhattan,34,2.45,Coffee,Premium brewed coffee,Jamaican Coffee River Sm,2.45,2023,1,Jan,Sunday
59,01-01-2023,09:29:56,2,8,Hell's Kitchen,36,3.75,Coffee,Premium brewed coffee,Jamaican Coffee River Lg,7.5,2023,1,Jan,Sunday
60,01-01-2023,09:29:56,1,8,Hell's Kitchen,74,3.5,Bakery,Biscotti,Ginger Biscotti,3.5,2023,1,Jan,Sunday
61,01-01-2023,09:29:57,1,8,Hell's Kitchen,53,3,Tea,Brewed Chai tea,Traditional Blend Chai Lg,3,2023,1,Jan,Sunday
62,01-01-2023,09:34:17,2,8,Hell's Kitchen,41,4.25,Coffee,Barista Espresso,Cappuccino Lg,8.5,2023,1,Jan,Sunday
63,01-01-2023,09:40:13,1,5,Lower Manhattan,41,4.25,Coffee,Barista Espresso,Cappuccino Lg,4.25,2023,1,Jan,Sunday
64,01-01-2023,09:41:22,2,5,Lower Manhattan,45,3,Tea,Brewed herbal tea,Peppermint Lg,6,2023,1,Jan,Sunday
65,01-01-2023,09:41:22,1,5,Lower Manhattan,79,3.75,Bakery,Scone,Jumbo Savory Scone,3.75,2023,1,Jan,Sunday
66,01-01-2023,09:44:20,2,5,Lower Manhattan,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,5,2023,1,Jan,Sunday
67,01-01-2023,09:44:46,1,5,Lower Manhattan,24,3,Coffee,Drip coffee,Our Old Time Diner Blend Lg,3,2023,1,Jan,Sunday
68,01-01-2023,09:46:46,2,5,Lower Manhattan,37,3,Coffee,Barista Espresso,Espresso shot,6,2023,1,Jan,Sunday
69,01-01-2023,09:47:40,2,8,Hell's Kitchen,40,3.75,Coffee,Barista Espresso,Cappuccino,7.5,2023,1,Jan,Sunday
70,01-01-2023,09:50:44,2,5,Lower Manhattan,37,3,Coffee,Barista Espresso,Espresso shot,6,2023,1,Jan,Sunday
71,01-01-2023,09:50:44,1,5,Lower Manhattan,69,3.25,Bakery,Biscotti,Hazelnut Biscotti,3.25,2023,1,Jan,Sunday
72,01-01-2023,09:52:58,1,5,Lower Manhattan,50,2.5,Tea,Brewed Black tea,Earl Grey Rg,2.5,2023,1,Jan,Sunday
73,01-01-2023,09:53:28,1,8,Hell's Kitchen,47,3,Tea,Brewed Green tea,Serenity Green Tea Lg,3,2023,1,Jan,Sunday
74,01-01-2023,09:53:44,2,8,Hell's Kitchen,40,3.75,Coffee,Barista Espresso,Cappuccino,7.5,2023,1,Jan,Sunday
75,01-01-2023,09:53:44,1,8,Hell's Kitchen,72,3.25,Bakery,Scone,Ginger Scone,3.25,2023,1,Jan,Sunday
76,01-01-2023,09:53:49,1,8,Hell's Kitchen,35,3.1,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,3.1,2023,1,Jan,Sunday
77,01-01-2023,09:54:46,1,5,Lower Manhattan,23,2.5,Coffee,Drip coffee,Our Old Time Diner Blend Rg,2.5,2023,1,Jan,Sunday
78,01-01-2023,09:55:16,2,5,Lower Manhattan,43,3,Tea,Brewed herbal tea,Lemon Grass Lg,6,2023,1,Jan,Sunday
79,01-01-2023,09:56:30,1,8,Hell's Kitchen,22,2,Coffee,Drip coffee,Our Old Time Diner Blend Sm,2,2023,1,Jan,Sunday
80,01-01-2023,10:00:39,2,8,Hell's Kitchen,32,3,Coffee,Gourmet brewed coffee,Ethiopia Rg,6,2023,1,Jan,Sunday
81,01-01-2023,10:03:55,2,8,Hell's Kitchen,36,3.75,Coffee,Premium brewed coffee,Jamaican Coffee River Lg,7.5,2023,1,Jan,Sunday
82,01-01-2023,10:14:49,1,5,Lower Manhattan,26,3,Coffee,Organic brewed coffee,Brazilian Rg,3,2023,1,Jan,Sunday
83,01-01-2023,10:14:49,1,5,Lower Manhattan,71,3.75,Bakery,Pastry,Chocolate Croissant,3.75,2023,1,Jan,Sunday
84,01-01-2023,10:16:30,2,5,Lower Manhattan,32,3,Coffee,Gourmet brewed coffee,Ethiopia Rg,6,2023,1,Jan,Sunday
85,01-01-2023,10:16:33,1,8,Hell's Kitchen,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,2.5,2023,1,Jan,Sunday
86,01-01-2023,10:18:14,2,8,Hell's Kitchen,41,4.25,Coffee,Barista Espresso,Cappuccino Lg,8.5,2023,1,Jan,Sunday
87,01-01-2023,10:18:52,2,5,Lower Manhattan,25,2.2,Coffee,Organic brewed coffee,Brazilian Sm,4.4,2023,1,Jan,Sunday
88,01-01-2023,10:19:42,2,5,Lower Manhattan,23,2.5,Coffee,Drip coffee,Our Old Time Diner Blend Rg,5,2023,1,Jan,Sunday
89,01-01-2023,10:24:19,1,8,Hell's Kitchen,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,2.5,2023,1,Jan,Sunday
90,01-01-2023,10:25:22,2,8,Hell's Kitchen,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,5.1,2023,1,Jan,Sunday
91,01-01-2023,10:25:45,2,5,Lower Manhattan,58,3.5,Drinking Chocolate,Hot chocolate,Dark chocolate Rg,7,2023,1,Jan,Sunday
92,01-01-2023,10:25:45,1,5,Lower Manhattan,74,3.5,Bakery,Biscotti,Ginger Biscotti,3.5,2023,1,Jan,Sunday
93,01-01-2023,10:27:48,2,8,Hell's Kitchen,47,3,Tea,Brewed Green tea,Serenity Green Tea Lg,6,2023,1,Jan,Sunday
94,01-01-2023,10:30:07,1,5,Lower Manhattan,35,3.1,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,3.1,2023,1,Jan,Sunday
95,01-01-2023,10:30:07,1,5,Lower Manhattan,70,3.25,Bakery,Scone,Cranberry Scone,3.25,2023,1,Jan,Sunday
96,01-01-2023,10:35:47,1,8,Hell's Kitchen,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,3.75,2023,1,Jan,Sunday
97,01-01-2023,10:41:53,1,5,Lower Manhattan,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,4.5,2023,1,Jan,Sunday
98,01-01-2023,10:47:53,2,5,Lower Manhattan,36,3.75,Coffee,Premium brewed coffee,Jamaican Coffee River Lg,7.5,2023,1,Jan,Sunday
99,01-01-2023,10:49:13,2,8,Hell's Kitchen,51,3,Tea,Brewed Black tea,Earl Grey Lg,6,2023,1,Jan,Sunday
100,01-01-2023,10:49:51,2,5,Lower Manhattan,61,4.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg,9.5,2023,1,Jan,Sunday
101,01-01-2023,10:51:17,1,5,Lower Manhattan,47,3,Tea,Brewed Green tea,Serenity Green Tea Lg,3,2023,1,Jan,Sunday
102,01-01-2023,10:52:44,2,8,Hell's Kitchen,23,2.5,Coffee,Drip coffee,Our Old Time Diner Blend Rg,5,2023,1,Jan,Sunday
103,01-01-2023,10:52:44,1,8,Hell's Kitchen,73,3.75,Bakery,Pastry,Almond Croissant,3.75,2023,1,Jan,Sunday
104,01-01-2023,10:56:14,1,5,Lower Manhattan,38,3.75,Coffee,Barista Espresso,Latte,3.75,2023,1,Jan,Sunday
105,01-01-2023,10:56:14,1,5,Lower Manhattan,76,3.5,Bakery,Biscotti,Chocolate Chip Biscotti,3.5,2023,1,Jan,Sunday
106,01-01-2023,11:01:48,1,3,Astoria,22,2,Coffee,Drip coffee,Our Old Time Diner Blend Sm,2,2023,1,Jan,Sunday
107,01-01-2023,11:01:58,1,3,Astoria,38,3.75,Coffee,Barista Espresso,Latte,3.75,2023,1,Jan,Sunday
108,01-01-2023,11:01:58,1,3,Astoria,75,3.5,Bakery,Pastry,Croissant,3.5,2023,1,Jan,Sunday
109,01-01-2023,11:03:25,2,5,Lower Manhattan,47,3,Tea,Brewed Green tea,Serenity Green Tea Lg,6,2023,1,Jan,Sunday
110,01-01-2023,11:03:25,1,5,Lower Manhattan,75,3.5,Bakery,Pastry,Croissant,3.5,2023,1,Jan,Sunday
111,01-01-2023,11:04:32,2,8,Hell's Kitchen,39,4.25,Coffee,Barista Espresso,Latte Rg,8.5,2023,1,Jan,Sunday
112,01-01-2023,11:08:11,1,3,Astoria,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,4.5,2023,1,Jan,Sunday
113,01-01-2023,11:08:59,2,8,Hell's Kitchen,51,3,Tea,Brewed Black tea,Earl Grey Lg,6,2023,1,Jan,Sunday
114,01-01-2023,11:09:01,1,3,Astoria,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,4.5,2023,1,Jan,Sunday
115,01-01-2023,11:10:21,1,3,Astoria,47,3,Tea,Brewed Green tea,Serenity Green Tea Lg,3,2023,1,Jan,Sunday
116,01-01-2023,11:10:21,1,3,Astoria,79,3.75,Bakery,Scone,Jumbo Savory Scone,3.75,2023,1,Jan,Sunday
117,01-01-2023,11:10:58,1,3,Astoria,46,2.5,Tea,Brewed Green tea,Serenity Green Tea Rg,2.5,2023,1,Jan,Sunday
118,01-01-2023,11:12:29,1,3,Astoria,43,3,Tea,Brewed herbal tea,Lemon Grass Lg,3,2023,1,Jan,Sunday
119,01-01-2023,11:16:02,2,3,Astoria,45,3,Tea,Brewed herbal tea,Peppermint Lg,6,2023,1,Jan,Sunday
120,01-01-2023,11:21:00,2,8,Hell's Kitchen,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,5,2023,1,Jan,Sunday
121,01-01-2023,11:21:04,2,5,Lower Manhattan,51,3,Tea,Brewed Black tea,Earl Grey Lg,6,2023,1,Jan,Sunday
122,01-01-2023,11:21:14,1,3,Astoria,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,3.75,2023,1,Jan,Sunday
123,01-01-2023,11:23:01,1,8,Hell's Kitchen,31,2.2,Coffee,Gourmet brewed coffee,Ethiopia Sm,2.2,2023,1,Jan,Sunday
124,01-01-2023,11:23:43,2,5,Lower Manhattan,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,7.5,2023,1,Jan,Sunday
125,01-01-2023,11:23:43,1,5,Lower Manhattan,77,3,Bakery,Scone,Oatmeal Scone,3,2023,1,Jan,Sunday
126,01-01-2023,11:25:35,2,3,Astoria,49,3,Tea,Brewed Black tea,English Breakfast Lg,6,2023,1,Jan,Sunday
127,01-01-2023,11:25:37,2,5,Lower Manhattan,40,3.75,Coffee,Barista Espresso,Cappuccino,7.5,2023,1,Jan,Sunday
128,01-01-2023,11:28:15,2,8,Hell's Kitchen,44,2.5,Tea,Brewed herbal tea,Peppermint Rg,5,2023,1,Jan,Sunday
129,01-01-2023,11:28:29,2,3,Astoria,33,3.5,Coffee,Gourmet brewed coffee,Ethiopia Lg,7,2023,1,Jan,Sunday
130,01-01-2023,11:29:25,2,5,Lower Manhattan,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,5.1,2023,1,Jan,Sunday
131,01-01-2023,11:29:57,2,8,Hell's Kitchen,35,3.1,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,6.2,2023,1,Jan,Sunday
132,01-01-2023,11:29:57,1,8,Hell's Kitchen,78,4.5,Bakery,Scone,Scottish Cream Scone ,4.5,2023,1,Jan,Sunday
133,01-01-2023,11:30:22,1,8,Hell's Kitchen,23,2.5,Coffee,Drip coffee,Our Old Time Diner Blend Rg,2.5,2023,1,Jan,Sunday
134,01-01-2023,11:31:35,1,8,Hell's Kitchen,24,3,Coffee,Drip coffee,Our Old Time Diner Blend Lg,3,2023,1,Jan,Sunday
135,01-01-2023,11:31:43,2,5,Lower Manhattan,51,3,Tea,Brewed Black tea,Earl Grey Lg,6,2023,1,Jan,Sunday
136,01-01-2023,11:31:43,1,5,Lower Manhattan,72,3.25,Bakery,Scone,Ginger Scone,3.25,2023,1,Jan,Sunday
137,01-01-2023,11:31:53,2,5,Lower Manhattan,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,5,2023,1,Jan,Sunday
138,01-01-2023,11:31:53,1,5,Lower Manhattan,75,3.5,Bakery,Pastry,Croissant,3.5,2023,1,Jan,Sunday
139,01-01-2023,11:39:14,1,5,Lower Manhattan,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,3.75,2023,1,Jan,Sunday
140,01-01-2023,11:39:14,1,5,Lower Manhattan,71,3.75,Bakery,Pastry,Chocolate Croissant,3.75,2023,1,Jan,Sunday
141,01-01-2023,11:40:26,2,3,Astoria,52,2.5,Tea,Brewed Chai tea,Traditional Blend Chai Rg,5,2023,1,Jan,Sunday
142,01-01-2023,11:43:57,2,3,Astoria,25,2.2,Coffee,Organic brewed coffee,Brazilian Sm,4.4,2023,1,Jan,Sunday
143,01-01-2023,11:44:09,1,5,Lower Manhattan,38,3.75,Coffee,Barista Espresso,Latte,3.75,2023,1,Jan,Sunday
144,01-01-2023,11:47:13,1,3,Astoria,30,3,Coffee,Gourmet brewed coffee,Columbian Medium Roast Lg,3,2023,1,Jan,Sunday
145,01-01-2023,11:48:56,2,8,Hell's Kitchen,50,2.5,Tea,Brewed Black tea,Earl Grey Rg,5,2023,1,Jan,Sunday
146,01-01-2023,11:49:42,1,8,Hell's Kitchen,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,2.5,2023,1,Jan,Sunday
147,01-01-2023,11:49:42,1,8,Hell's Kitchen,72,3.25,Bakery,Scone,Ginger Scone,3.25,2023,1,Jan,Sunday
148,01-01-2023,11:50:16,2,3,Astoria,26,3,Coffee,Organic brewed coffee,Brazilian Rg,6,2023,1,Jan,Sunday
149,01-01-2023,11:50:23,2,3,Astoria,36,3.75,Coffee,Premium brewed coffee,Jamaican Coffee River Lg,7.5,2023,1,Jan,Sunday
150,01-01-2023,11:50:58,2,5,Lower Manhattan,45,3,Tea,Brewed herbal tea,Peppermint Lg,6,2023,1,Jan,Sunday
151,01-01-2023,11:51:30,2,8,Hell's Kitchen,33,3.5,Coffee,Gourmet brewed coffee,Ethiopia Lg,7,2023,1,Jan,Sunday
152,01-01-2023,11:52:31,1,5,Lower Manhattan,57,3.1,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,3.1,2023,1,Jan,Sunday
153,01-01-2023,11:57:17,2,3,Astoria,37,3,Coffee,Barista Espresso,Espresso shot,6,2023,1,Jan,Sunday
154,01-01-2023,11:57:59,1,3,Astoria,50,2.5,Tea,Brewed Black tea,Earl Grey Rg,2.5,2023,1,Jan,Sunday
155,01-01-2023,11:57:59,1,3,Astoria,79,3.75,Bakery,Scone,Jumbo Savory Scone,3.75,2023,1,Jan,Sunday
156,01-01-2023,11:58:15,2,3,Astoria,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,7.5,2023,1,Jan,Sunday
157,01-01-2023,12:00:20,1,5,Lower Manhattan,29,2.5,Coffee,Gourmet brewed coffee,Columbian Medium Roast Rg,2.5,2023,1,Jan,Sunday
158,01-01-2023,12:01:00,2,3,Astoria,49,3,Tea,Brewed Black tea,English Breakfast Lg,6,2023,1,Jan,Sunday
159,01-01-2023,12:01:20,2,3,Astoria,35,3.1,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,6.2,2023,1,Jan,Sunday
160,01-01-2023,12:01:20,1,3,Astoria,75,3.5,Bakery,Pastry,Croissant,3.5,2023,1,Jan,Sunday
161,01-01-2023,12:03:09,1,8,Hell's Kitchen,36,3.75,Coffee,Premium brewed coffee,Jamaican Coffee River Lg,3.75,2023,1,Jan,Sunday
162,01-01-2023,12:03:38,1,8,Hell's Kitchen,47,3,Tea,Brewed Green tea,Serenity Green Tea Lg,3,2023,1,Jan,Sunday
163,01-01-2023,12:03:43,1,3,Astoria,44,2.5,Tea,Brewed herbal tea,Peppermint Rg,2.5,2023,1,Jan,Sunday
164,01-01-2023,12:04:22,2,8,Hell's Kitchen,27,3.5,Coffee,Organic brewed coffee,Brazilian Lg,7,2023,1,Jan,Sunday
165,01-01-2023,12:05:31,2,3,Astoria,52,2.5,Tea,Brewed Chai tea,Traditional Blend Chai Rg,5,2023,1,Jan,Sunday
166,01-01-2023,12:06:29,1,5,Lower Manhattan,46,2.5,Tea,Brewed Green tea,Serenity Green Tea Rg,2.5,2023,1,Jan,Sunday
167,01-01-2023,12:07:42,1,8,Hell's Kitchen,24,3,Coffee,Drip coffee,Our Old Time Diner Blend Lg,3,2023,1,Jan,Sunday
168,01-01-2023,12:08:21,1,5,Lower Manhattan,43,3,Tea,Brewed herbal tea,Lemon Grass Lg,3,2023,1,Jan,Sunday
169,01-01-2023,12:08:36,1,8,Hell's Kitchen,35,3.1,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,3.1,2023,1,Jan,Sunday
170,01-01-2023,12:09:11,2,3,Astoria,28,2,Coffee,Gourmet brewed coffee,Columbian Medium Roast Sm,4,2023,1,Jan,Sunday
171,01-01-2023,12:09:12,2,8,Hell's Kitchen,50,2.5,Tea,Brewed Black tea,Earl Grey Rg,5,2023,1,Jan,Sunday
172,01-01-2023,12:13:07,2,5,Lower Manhattan,38,3.75,Coffee,Barista Espresso,Latte,7.5,2023,1,Jan,Sunday
173,01-01-2023,12:14:26,2,8,Hell's Kitchen,35,3.1,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,6.2,2023,1,Jan,Sunday
174,01-01-2023,12:17:38,2,8,Hell's Kitchen,50,2.5,Tea,Brewed Black tea,Earl Grey Rg,5,2023,1,Jan,Sunday
175,01-01-2023,12:18:07,2,5,Lower Manhattan,25,2.2,Coffee,Organic brewed coffee,Brazilian Sm,4.4,2023,1,Jan,Sunday
176,01-01-2023,12:18:44,2,3,Astoria,49,3,Tea,Brewed Black tea,English Breakfast Lg,6,2023,1,Jan,Sunday
177,01-01-2023,12:20:16,2,3,Astoria,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,7.5,2023,1,Jan,Sunday
178,01-01-2023,12:23:39,1,3,Astoria,24,3,Coffee,Drip coffee,Our Old Time Diner Blend Lg,3,2023,1,Jan,Sunday
179,01-01-2023,12:27:06,2,5,Lower Manhattan,41,4.25,Coffee,Barista Espresso,Cappuccino Lg,8.5,2023,1,Jan,Sunday
180,01-01-2023,12:30:46,2,3,Astoria,44,2.5,Tea,Brewed herbal tea,Peppermint Rg,5,2023,1,Jan,Sunday
181,01-01-2023,12:30:49,1,8,Hell's Kitchen,38,3.75,Coffee,Barista Espresso,Latte,3.75,2023,1,Jan,Sunday
182,01-01-2023,12:33:20,2,3,Astoria,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,5,2023,1,Jan,Sunday
183,01-01-2023,12:33:35,2,3,Astoria,29,2.5,Coffee,Gourmet brewed coffee,Columbian Medium Roast Rg,5,2023,1,Jan,Sunday
